target,model,window,conflict_arrivals,baseline_arrivals,risk_score_diff,residual_belief_diff,observed_delay_diff,mean_conflict_mass
long_arrival_delay,acrf_no_async,active,67880,1176342,0.19489121742675375,0.5716629964972658,0.25268645606630097,0.7655876581808797
long_arrival_delay,acrf_no_async,post_3h,96077,1148145,0.19892171472726144,0.5847977532287675,0.21003958377662568,0.7661757731299529
long_arrival_delay,acrf_no_reliability,active,67880,1176342,0.23640476679933353,0.56728118446136,0.25268645606630097,0.7738603349385464
long_arrival_delay,acrf_no_reliability,post_3h,96077,1148145,0.19281902235484705,0.46838901427562324,0.21003958377662568,0.6848064811894631
long_arrival_delay,calendar_weather_demand,active,67880,1176342,0.044183389691415165,0.0,0.25268645606630097,0.0
long_arrival_delay,calendar_weather_demand,post_3h,96077,1148145,0.044481771086431615,0.0,0.21003958377662568,0.0
long_arrival_delay,ds_fusion,active,67880,1176342,0.18370483934217507,0.3519640621316565,0.25268645606630097,0.8232269527278259
long_arrival_delay,ds_fusion,post_3h,96077,1148145,0.187776084600995,0.36089782844014334,0.21003958377662568,0.8250654431798639
long_arrival_delay,early_fusion_wad,active,67880,1176342,0.2505667878590164,0.20638339816760123,0.25268645606630097,0.0
long_arrival_delay,early_fusion_wad,post_3h,96077,1148145,0.20799420458127438,0.16351243349484273,0.21003958377662568,0.0
long_arrival_delay,full_acrf,active,67880,1176342,0.2359606871381586,0.5583304316349603,0.25268645606630097,0.7575196079093053
long_arrival_delay,full_acrf,post_3h,96077,1148145,0.1930308239617542,0.4623158763863272,0.21003958377662568,0.6690343874914413
long_arrival_delay,full_acrf_eta,active,67880,1176342,0.24263469609535965,0.6935519899354493,0.25268645606630097,0.7936595907142335
long_arrival_delay,full_acrf_eta,post_3h,96077,1148145,0.20171283422556757,0.5898983994759616,0.21003958377662568,0.6995016829912587
long_arrival_delay,residual_logistic_fusion,active,67880,1176342,0.25056678786406905,0.20638339817265391,0.25268645606630097,0.0
long_arrival_delay,residual_logistic_fusion,post_3h,96077,1148145,0.2079942045875337,0.1635124335011021,0.21003958377662568,0.0
long_arrival_delay,yager_fusion,active,67880,1176342,0.16895169736122834,0.2977096733866798,0.25268645606630097,0.7223012778950135
long_arrival_delay,yager_fusion,post_3h,96077,1148145,0.17240222856042597,0.3047627292608552,0.21003958377662568,0.7228774787626172
cancellation,acrf_no_async,active,67880,1176342,0.03386223914302538,0.44941953824960595,0.25268645606630097,0.8673462824588688
cancellation,acrf_no_async,post_3h,96077,1148145,0.035592162835139045,0.4642046316999403,0.21003958377662568,0.865769682670447
cancellation,acrf_no_reliability,active,67880,1176342,0.04254898833334438,0.4468170391833212,0.25268645606630097,0.8704769852992209
cancellation,acrf_no_reliability,post_3h,96077,1148145,0.033397534997602535,0.3646883251000183,0.21003958377662568,0.7268988707347127
cancellation,calendar_weather_demand,active,67880,1176342,0.003397982448056282,0.0,0.25268645606630097,0.0
cancellation,calendar_weather_demand,post_3h,96077,1148145,0.0037914891661843357,0.0,0.21003958377662568,0.0
cancellation,ds_fusion,active,67880,1176342,0.03096170386624742,0.32164795859718887,0.25268645606630097,0.9357253348117903
cancellation,ds_fusion,post_3h,96077,1148145,0.03249774326425541,0.33127670163156175,0.21003958377662568,0.9339480670738822
cancellation,early_fusion_wad,active,67880,1176342,0.04875120316873679,0.04535322072068051,0.25268645606630097,0.0
cancellation,early_fusion_wad,post_3h,96077,1148145,0.041588695848194274,0.03779720668200995,0.21003958377662568,0.0
cancellation,full_acrf,active,67880,1176342,0.041859415646122465,0.4385298381462293,0.25268645606630097,0.8536334403970567
cancellation,full_acrf,post_3h,96077,1148145,0.03312691172950337,0.3591105273041808,0.21003958377662568,0.7110209490610682
cancellation,full_acrf_eta,active,67880,1176342,0.04742472764227257,0.5993094537781258,0.25268645606630097,0.9503773797355967
cancellation,full_acrf_eta,post_3h,96077,1148145,0.03792500626896163,0.49825543267503414,0.21003958377662568,0.7919734685810315
cancellation,residual_logistic_fusion,active,67880,1176342,0.048751203225976515,0.04535322077792023,0.25268645606630097,0.0
cancellation,residual_logistic_fusion,post_3h,96077,1148145,0.04158869590755321,0.03779720674136887,0.21003958377662568,0.0
cancellation,yager_fusion,active,67880,1176342,0.023168046403541198,0.22819665602890904,0.25268645606630097,0.7591001877418063
cancellation,yager_fusion,post_3h,96077,1148145,0.02448361631216889,0.2360550449568334,0.21003958377662568,0.7580162309080063
