outcome,grouping,group,events,mean_peak,mean_tail_area,aggregate_aohi,positive_peak_share,positive_tail_share
cancellation,month,1,7,0.003641383817686981,0.04919830390742819,13.51088112943807,0.42857142857142855,0.2857142857142857
cancellation,month,2,7,0.02623346255590093,0.06661551760060165,2.5393337787053665,0.5714285714285714,0.42857142857142855
cancellation,month,3,21,0.0030195296859009285,0.03289248040058221,10.893246241017886,0.23809523809523808,0.23809523809523808
cancellation,month,4,23,0.002321166669876561,0.019676138084935638,8.476831216080667,0.17391304347826086,0.17391304347826086
cancellation,month,5,30,0.002534392991562491,0.028175336991211723,11.117193381221123,0.23333333333333334,0.3
cancellation,month,6,46,0.010249287766182048,0.10793622863833852,10.531095535679913,0.391304347826087,0.6304347826086957
cancellation,month,7,49,0.010397473422920753,0.203146440455875,19.538058160172643,0.5306122448979592,0.4489795918367347
cancellation,month,8,44,0.00596852974948328,0.04280968982722326,7.172568726984978,0.3409090909090909,0.29545454545454547
cancellation,month,9,35,0.0036397651775978853,0.034631930670931996,9.514880488468169,0.22857142857142856,0.2571428571428571
cancellation,month,10,31,0.0022803346065379385,0.12267156073314904,53.7954212427588,0.25806451612903225,0.22580645161290322
cancellation,month,11,35,0.0013298420455750588,0.07399128774891935,55.63915503733645,0.2857142857142857,0.45714285714285713
cancellation,month,12,7,-0.005984829330126564,0.039992288566618774,39992.28856661877,0.2857142857142857,0.2857142857142857
long_arrival_delay,month,1,7,0.021781671839847912,0.06776334610352416,3.111025939687342,0.5714285714285714,0.5714285714285714
long_arrival_delay,month,2,7,0.06442333739091247,0.35949754693849206,5.580237868726165,1.0,0.7142857142857143
long_arrival_delay,month,3,21,0.011853525667629969,0.12659447336533047,10.679900387024865,0.5714285714285714,0.7142857142857143
long_arrival_delay,month,4,23,0.04598468588481506,0.2920623259377802,6.351295443647343,0.5652173913043478,0.8695652173913043
long_arrival_delay,month,5,30,0.05155176765331883,0.17897535359641517,3.471759781352386,0.6333333333333333,0.6666666666666666
long_arrival_delay,month,6,46,0.1424165986049953,0.4438619511461478,3.116644797684272,0.8478260869565217,0.8695652173913043
long_arrival_delay,month,7,49,0.06876325531526775,0.3587717651048247,5.217492445055395,0.5918367346938775,0.673469387755102
long_arrival_delay,month,8,44,0.1045293555470279,0.276121097999206,2.6415651044072375,0.7045454545454546,0.7954545454545454
long_arrival_delay,month,9,35,0.06832044319378938,0.201419334334441,2.9481561435882324,0.6,0.7142857142857143
long_arrival_delay,month,10,31,0.1257176545792503,0.22566852585943437,1.7950424434396102,0.7741935483870968,0.7419354838709677
long_arrival_delay,month,11,35,0.08738689892729472,0.1889062738146651,2.161723051550711,0.8857142857142857,0.6285714285714286
long_arrival_delay,month,12,7,0.06049623989768842,0.20221316897655014,3.342574171858188,0.8571428571428571,0.8571428571428571
cancellation,airport,ATL,10,0.0013961267359027245,0.0054809100555643555,3.9257969313369263,0.5,0.2
cancellation,airport,BOS,26,0.004428476836357354,0.04093358888330047,9.243265889354953,0.19230769230769232,0.15384615384615385
cancellation,airport,BWI,3,0.008609986504723367,0.017169206564401133,1.9941037718215062,0.3333333333333333,0.3333333333333333
cancellation,airport,CLT,5,0.004850804723034501,0.13676922444587608,28.195161886524637,0.6,0.4
cancellation,airport,DCA,54,-0.0041045730448357465,0.041926787892093725,41926.78789209373,0.25925925925925924,0.3333333333333333
cancellation,airport,DEN,31,0.001006811940037537,0.06126187381660245,60.84738507801012,0.3548387096774194,0.3870967741935484
cancellation,airport,DFW,19,0.008843417988301367,0.0861416837464526,9.740768089940595,0.3684210526315789,0.5789473684210527
cancellation,airport,DTW,1,-0.0006620762711864,0.0,0.0,0.0,0.0
cancellation,airport,EWR,42,0.011485745088032925,0.14544390772019508,12.662992832022196,0.42857142857142855,0.38095238095238093
cancellation,airport,FLL,3,0.013289760348583854,0.0,0.0,0.3333333333333333,0.0
cancellation,airport,IAD,5,0.0,0.02596736596736588,25967.365967365884,0.0,0.2
cancellation,airport,IAH,11,0.01770286359539909,0.08705289727851499,4.917447214649483,0.36363636363636365,0.36363636363636365
cancellation,airport,JFK,6,0.060911472918705,0.14112589480236526,2.3169016942131373,0.8333333333333334,0.5
cancellation,airport,LAS,26,-0.00011348040212002499,0.02980783692535386,29807.836925353862,0.2692307692307692,0.19230769230769232
cancellation,airport,LAX,1,0.0,0.0,0.0,0.0,0.0
cancellation,airport,LGA,15,-0.006099848335323221,0.02873729689861233,28737.29689861233,0.2,0.4
cancellation,airport,MCO,13,-0.0006472310979564269,0.06693835193466623,66938.35193466624,0.3076923076923077,0.46153846153846156
cancellation,airport,MDW,2,-0.0491666666666667,0.0,0.0,0.0,0.0
cancellation,airport,MIA,4,0.00790849221700285,0.1530835151845788,19.3568522272118,0.25,1.0
cancellation,airport,MSP,4,0.0,0.0,0.0,0.0,0.0
cancellation,airport,ORD,13,0.007174284005346254,0.33133641141912634,46.183899490487896,0.23076923076923078,0.38461538461538464
cancellation,airport,PHL,14,0.028874805140254988,0.24351726949954028,8.433555423722932,0.6428571428571429,0.7142857142857143
cancellation,airport,PHX,14,0.017824184710191666,0.020174449333319043,1.1318581837733943,0.2857142857142857,0.21428571428571427
cancellation,airport,RDU,1,0.0555555555555555,0.0,0.0,1.0,0.0
cancellation,airport,SEA,8,0.0022164193859243375,0.05398946488172489,24.358866929513464,0.5,0.625
cancellation,airport,SFO,1,-0.0317704978467761,0.47409404013177536,474094.0401317754,0.0,1.0
cancellation,airport,TPA,3,-0.0031152647975077664,0.06530721044915347,65307.21044915347,0.0,0.6666666666666666
long_arrival_delay,airport,ATL,10,0.07765348437120237,0.3714715535981035,4.783707474379128,0.8,0.8
long_arrival_delay,airport,BOS,26,0.08997520926462754,0.16151755168330226,1.7951339374856063,0.8461538461538461,0.5769230769230769
long_arrival_delay,airport,BWI,3,-0.006038326968075047,0.8901850690714559,890185.069071456,0.6666666666666666,1.0
long_arrival_delay,airport,CLT,5,0.16879068578483525,0.7702914070670968,4.563589533897743,0.6,1.0
long_arrival_delay,airport,DCA,54,-0.0022173289668712824,0.22531630188955637,225316.30188955637,0.4444444444444444,0.8703703703703703
long_arrival_delay,airport,DEN,31,0.17637151362556824,0.21324108633279212,1.2090449412681061,0.7419354838709677,0.7741935483870968
long_arrival_delay,airport,DFW,19,0.03488041231938167,0.22989604004014388,6.590978281308897,0.7894736842105263,0.7894736842105263
long_arrival_delay,airport,DTW,1,0.0287496884346959,0.27952637622845733,9.722761930564692,1.0,1.0
long_arrival_delay,airport,EWR,42,0.1715913444979252,0.24519834147828307,1.428966840930883,0.7857142857142857,0.6190476190476191
long_arrival_delay,airport,FLL,3,0.058738960783437065,0.08244066167655746,1.4035090266663977,1.0,1.0
long_arrival_delay,airport,IAD,5,0.09033360865551468,0.39709624395343784,4.395885981570337,0.8,1.0
long_arrival_delay,airport,IAH,11,0.1071182114772732,0.5263875232942944,4.914080584756363,0.7272727272727273,1.0
long_arrival_delay,airport,JFK,6,0.15219617157926899,0.53538614617046,3.5177372769302053,0.6666666666666666,0.5
long_arrival_delay,airport,LAS,26,0.09686251461220761,0.21101832399289605,2.1785344396407127,0.8076923076923077,0.6538461538461539
long_arrival_delay,airport,LAX,1,0.0319496268656716,0.0,0.0,1.0,0.0
long_arrival_delay,airport,LGA,15,0.0057721578381083605,0.12249020349256391,21.220868681703642,0.5333333333333333,0.6
long_arrival_delay,airport,MCO,13,0.110696636415243,0.4504425965204776,4.06916245251379,0.6923076923076923,0.8461538461538461
long_arrival_delay,airport,MDW,2,0.1511258519961051,0.0,0.0,1.0,0.0
long_arrival_delay,airport,MIA,4,0.06856490772037296,0.3054558142435039,4.454987608081365,1.0,0.75
long_arrival_delay,airport,MSP,4,0.06783817821855408,0.26883383744985395,3.962869353356641,0.75,1.0
long_arrival_delay,airport,ORD,13,0.048757401564895685,0.15015137879190865,3.0795607225306796,0.7692307692307693,0.9230769230769231
long_arrival_delay,airport,PHL,14,0.0010321184467387268,0.531928410151329,515.3753542842963,0.5714285714285714,0.7857142857142857
long_arrival_delay,airport,PHX,14,0.11357638196007214,0.26793867606267374,2.3591055766934694,0.8571428571428571,0.5714285714285714
long_arrival_delay,airport,RDU,1,0.0611111111111111,0.5166414862067035,8.45413341065515,1.0,1.0
long_arrival_delay,airport,SEA,8,-0.003219730497371785,0.058073915331979795,58073.9153319798,0.375,0.375
long_arrival_delay,airport,SFO,1,0.1572264751665592,0.0,0.0,1.0,0.0
long_arrival_delay,airport,TPA,3,0.1616279056699618,0.31744247508889306,1.9640325955661324,1.0,1.0
